,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Sweden","2015","82.4","80.7","84.0","24.6","23.3","25.8","72.0","71.1","73.0","19.1","18.2","20"
"Switzerland","2015","83.4","81.3","85.3","25.5","23.9","27.0","73.1","71.7","74.3","19.9","18.7","21"
"Syrian Arab Republic","2015","64.5","59.9","69.9","18.1","16.7","19.5","55.9","52.6","59.7","13.1","12.2","13.9"
"Tajikistan","2015","69.7","66.6","73.6","18.4","16.4","21.0","62.1","59.7","65.0","14.4","12.9","16.3"
"Thailand","2015","74.9","71.9","78.0","21.0","19.2","22.9","66.8","64.8","68.9","16.5","15.2","17.8"
"The former Yugoslav republic of Macedonia","2015","75.7","73.5","77.8","19.1","17.6","20.5","67.5","65.9","69.1","15.1","13.9","16.1"
"Timor-Leste","2015","68.3","66.6","70.1","17.1","16.2","17.9","61.1","59.4","62.8","13.3","12.6","14.1"
"Togo","2015","59.9","58.6","61.1","15.5","15.1","15.9","52.8","52.3","53.3","11.9","11.6","12.1"
"Tonga","2015","73.5","70.6","76.4","18.8","16.4","21.2","66.0","64.2","67.9","15","13.2","16.7"
"Trinidad and Tobago","2015","71.2","67.9","74.8","18.3","16.2","20.4","63.3","61.2","65.5","14.2","12.8","15.6"
"Tunisia","2015","75.3","73.0","77.8","19.7","17.9","21.4","66.7","65.3","68.2","15.4","14.3","16.5"
"Turkey","2015","75.8","72.6","78.9","21.1","19.0","23.0","66.2","64.5","67.8","15.9","14.7","17"
"Turkmenistan","2015","66.3","62.2","70.5","16.7","14.5","18.6","59.8","56.6","63.0","13.5","11.8","14.9"
"Uganda","2015","62.3","60.3","64.3","17.3","16.6","17.9","54.0","53.0","55.0","12.6","12.4","12.8"
"Ukraine","2015","71.3","66.3","76.1","18.3","15.4","20.5","64.1","60.2","67.8","15","12.7","16.6"
"United Arab Emirates","2015","77.1","76.4","78.6","20.1","19.8","20.9","68.3","68.0","68.8","15.8","15.6","16.1"
"United Kingdom of Great Britain and Northern Ireland","2015","81.2","79.4","83.0","24.1","22.7","25.3","71.4","70.3","72.5","18.8","17.8","19.6"
"United Republic of Tanzania","2015","61.8","59.9","63.8","16.4","15.7","17.1","54.2","52.9","55.5","12.3","11.8","12.7"
"United States of America","2015","79.3","76.9","81.6","23.6","22.1","25.0","69.1","67.7","70.4","18.1","17","19.1"
"Uruguay","2015","77.0","73.3","80.4","22.0","19.1","24.5","67.9","65.4","70.3","17","14.9","18.8"
"Uzbekistan","2015","69.4","66.1","72.7","18.4","16.6","19.9","62.4","59.9","65.0","14.9","13.5","16.2"
"Vanuatu","2015","72.0","70.1","74.0","18.2","17.0","19.5","64.6","63.4","66.0","14.5","13.7","15.4"
"Venezuela (Bolivarian Republic of)","2015","74.1","70.0","78.5","21.4","19.4","23.4","65.2","62.3","68.2","16.3","15","17.5"
"Viet Nam","2015","76.0","71.3","80.7","22.5","19.5","24.9","66.6","63.2","69.9","16.8","14.7","18.4"
"Yemen","2015","65.7","64.3","67.2","16.4","15.5","17.2","57.7","57.1","58.4","12.2","11.8","12.5"
"Zambia","2015","61.8","59.0","64.7","17.7","16.8","18.4","53.7","51.6","55.9","13.3","12.6","13.9"
"Zimbabwe","2015","60.7","59.0","62.3","17.8","17.0","18.4","52.1","50.9","53.4","12.6","12","13.2"
